age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,duration
25,F,African-American,25 - 45,High,Male,14,-1.0,10,1,7.142523148148148
20,F,Other,Less than 25,Medium,Male,0,-1.0,5,1,1.1007175925925925
22,F,African-American,Less than 25,High,Male,2,0.0,9,1,30.083159722222224
35,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,0.8451157407407407
36,F,African-American,25 - 45,Medium,Male,9,0.0,7,1,3.6683101851851854
26,F,Caucasian,25 - 45,High,Male,7,0.0,8,1,0.10814814814814815
21,F,Other,Less than 25,Medium,Male,1,0.0,6,1,3.9207175925925926
25,F,Caucasian,25 - 45,High,Male,9,-1.0,8,1,0.9973263888888889
20,F,Caucasian,Less than 25,Medium,Female,0,-1.0,7,0,0.5938310185185185
39,F,Caucasian,25 - 45,Low,Male,2,-2.0,1,1,-0.22018518518518518
54,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0.28402777777777777
44,M,Hispanic,25 - 45,Low,Female,0,-2.0,1,0,1.1277199074074074
19,M,African-American,Less than 25,Low,Male,1,-10.0,4,1,9.099456018518518
30,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,0.9332291666666667
39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,1,1.6877662037037038
24,F,Caucasian,Less than 25,Medium,Male,8,-1.0,6,1,12.189375
30,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,5.971076388888889
31,M,Caucasian,25 - 45,Medium,Male,0,-1.0,5,0,38.970787037037034
39,F,Caucasian,25 - 45,Low,Female,1,-1.0,4,0,106.86686342592593
43,F,Caucasian,25 - 45,Low,Male,1,-30.0,1,0,1.0370717592592593
21,F,African-American,Less than 25,High,Male,3,-1.0,9,1,6.275428240740741
38,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,2.8444907407407407
34,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,14.923900462962964
33,F,African-American,25 - 45,Medium,Male,5,0.0,5,1,0.28583333333333333
37,F,African-American,25 - 45,Low,Male,3,0.0,2,0,1.272361111111111
42,F,Caucasian,25 - 45,Low,Male,1,0.0,2,1,0.9099189814814815
41,F,African-American,25 - 45,High,Male,10,0.0,9,1,176.01019675925926
22,F,African-American,Less than 25,Low,Male,0,-1.0,4,1,0.8780671296296296
33,F,African-American,25 - 45,High,Male,28,-1.0,8,1,1.8341666666666667
31,M,African-American,25 - 45,Medium,Male,1,-1.0,7,0,1.187824074074074
30,F,Other,25 - 45,Low,Female,1,-1.0,2,0,1.1125694444444445
31,F,Caucasian,25 - 45,High,Male,13,-1.0,10,1,471.25944444444445
27,F,African-American,25 - 45,High,Male,3,-1.0,9,1,0.971550925925926
52,M,Caucasian,Greater than 45,High,Male,3,-2.0,9,0,0.6327430555555555
33,F,African-American,25 - 45,High,Male,19,-1.0,10,1,0.867025462962963
42,F,Caucasian,25 - 45,Low,Male,6,-4.0,3,0,-0.1250462962962963
25,F,Caucasian,25 - 45,Low,Female,2,-1.0,4,0,3.039270833333333
30,M,Caucasian,25 - 45,Low,Male,1,-20.0,2,0,3.8137268518518517
37,M,Other,25 - 45,Low,Female,2,-1.0,2,0,1.7272569444444446
28,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,0.8874652777777777
24,M,African-American,Less than 25,Low,Female,0,-1.0,2,0,2.441099537037037
29,F,Caucasian,25 - 45,Low,Female,10,-1.0,4,1,7.099340277777777
44,M,Caucasian,25 - 45,Low,Male,2,0.0,2,1,-0.02329861111111111
32,F,African-American,25 - 45,Medium,Male,3,-1.0,7,1,8.062337962962962
31,M,Caucasian,25 - 45,Low,Male,2,-16.0,3,1,15.130208333333334
31,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,1.0678125
59,F,Caucasian,Greater than 45,Low,Male,1,-1.0,2,1,0.5783564814814814
20,F,African-American,Less than 25,High,Female,1,0.0,10,0,2.770451388888889
43,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0.9654398148148148
38,F,African-American,25 - 45,High,Male,9,-1.0,8,1,13.130972222222223
32,F,African-American,25 - 45,Medium,Male,11,-2.0,6,1,1.276400462962963
33,M,African-American,25 - 45,Medium,Male,8,-1.0,5,1,0.7452083333333334
31,F,African-American,25 - 45,Low,Female,0,-1.0,3,1,1.7850925925925927
33,F,African-American,25 - 45,High,Female,7,-1.0,9,1,26.179525462962964
27,F,African-American,25 - 45,High,Male,2,-1.0,9,1,1.0829050925925925
20,F,African-American,Less than 25,Medium,Female,0,0.0,6,0,0.1592361111111111
26,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,0.8947453703703704
61,F,African-American,Greater than 45,Low,Female,1,-1.0,1,1,0.7561689814814815
52,F,Other,Greater than 45,Medium,Male,13,-1.0,7,1,1.7364814814814815
63,F,Hispanic,Greater than 45,Low,Male,1,-26.0,1,0,14.80744212962963
32,F,African-American,25 - 45,High,Female,4,-7.0,10,1,6.813773148148148
29,F,Hispanic,25 - 45,Low,Male,1,-1.0,4,0,0.8852893518518519
26,M,African-American,25 - 45,Low,Female,2,-1.0,4,1,0.7613310185185185
39,M,Caucasian,25 - 45,Low,Male,1,-1.0,4,0,3.9236689814814816
30,F,Caucasian,25 - 45,Medium,Female,3,0.0,7,1,530.0848958333333
30,F,African-American,25 - 45,Medium,Male,1,0.0,7,0,70.12737268518518
48,M,Caucasian,Greater than 45,Low,Male,2,-1.0,2,0,0.8268981481481481
22,F,African-American,Less than 25,Low,Male,1,-1.0,2,0,0.8658333333333333
46,F,Caucasian,Greater than 45,Low,Male,6,22.0,1,1,22.672916666666666
31,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,2.2690277777777776
25,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,1.9193171296296296
23,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,0.04138888888888889
32,F,African-American,25 - 45,Medium,Female,5,-1.0,7,0,1.1013657407407407
52,M,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,3.076111111111111
62,F,African-American,Greater than 45,Low,Male,8,0.0,4,0,15.655335648148148
31,F,Hispanic,25 - 45,High,Male,8,29.0,9,1,117.22524305555555
28,M,African-American,25 - 45,Medium,Male,6,-1.0,6,1,0.6931944444444444
54,F,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,188.38032407407408
58,F,Hispanic,Greater than 45,Low,Male,0,-1.0,2,0,0.6800231481481481
78,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,1,0.8565162037037037
56,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,1.164074074074074
24,F,Other,Less than 25,Low,Male,0,-1.0,2,0,1.9750347222222222
22,F,African-American,Less than 25,Medium,Male,1,0.0,5,1,0.001412037037037037
47,M,African-American,Greater than 45,High,Male,23,-1.0,8,1,0.8659953703703703
23,M,African-American,Less than 25,Low,Male,0,-1.0,2,1,1.0371064814814814
57,F,Hispanic,Greater than 45,Low,Male,1,0.0,1,0,19.698055555555555
66,F,African-American,Greater than 45,Low,Male,3,-10.0,1,1,2.014236111111111
45,M,Caucasian,Greater than 45,Low,Male,8,0.0,4,1,71.06920138888889
37,M,African-American,25 - 45,High,Male,2,0.0,9,1,0.2178125
39,F,Caucasian,25 - 45,Low,Male,0,0.0,4,1,0.9223842592592593
26,F,African-American,25 - 45,High,Male,9,0.0,9,1,79.29552083333333
45,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,358.9688425925926
23,F,African-American,Less than 25,Low,Male,0,-1.0,3,1,0.9773263888888889
34,M,African-American,25 - 45,Low,Male,2,0.0,2,1,25.718668981481482
23,M,African-American,Less than 25,Low,Female,1,-1.0,4,0,0.828587962962963
36,M,Other,25 - 45,Low,Male,2,-1.0,3,1,2.9867476851851853
50,F,Caucasian,Greater than 45,Low,Male,1,-4.0,1,0,1.7320717592592592
37,M,Caucasian,25 - 45,Low,Female,0,-1.0,3,0,0.25497685185185187
44,M,Caucasian,25 - 45,Low,Male,4,0.0,4,0,1.2431597222222222
35,F,African-American,25 - 45,High,Female,23,-1.0,9,1,2.094513888888889
24,F,Other,Less than 25,Medium,Male,5,-1.0,5,1,0.8504166666666667
26,F,African-American,25 - 45,High,Male,2,-1.0,10,1,1.141689814814815
27,M,African-American,25 - 45,Low,Male,0,-1.0,2,0,2.731423611111111
28,F,African-American,25 - 45,High,Female,0,0.0,8,0,29.11747685185185
28,F,Caucasian,25 - 45,High,Female,7,-1.0,9,1,1.0216782407407408
38,F,African-American,25 - 45,Low,Male,2,-1.0,1,0,1.2178472222222223
28,F,African-American,25 - 45,High,Female,1,-1.0,9,0,38.83116898148148
56,F,Caucasian,Greater than 45,Low,Male,7,-1.0,1,1,0.6053125
38,F,African-American,25 - 45,High,Male,15,-1.0,9,0,1.7623958333333334
28,M,African-American,25 - 45,Medium,Male,2,-1.0,5,0,0.741712962962963
51,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,1,0.7240509259259259
51,M,Caucasian,Greater than 45,Low,Male,0,-1.0,2,0,0.8882175925925926
36,M,Other,25 - 45,Low,Male,1,-1.0,1,1,1.0739467592592593
48,F,African-American,Greater than 45,Low,Male,0,-1.0,1,0,1.0996180555555555
37,F,Caucasian,25 - 45,Low,Male,4,0.0,3,1,1.850324074074074
30,F,African-American,25 - 45,Medium,Female,2,-1.0,7,0,2.7984375
41,M,African-American,25 - 45,Medium,Female,5,0.0,6,0,0.24171296296296296
27,F,African-American,25 - 45,High,Male,11,-1.0,10,1,223.17061342592592
37,M,African-American,25 - 45,Low,Male,0,-1.0,1,1,1.7827777777777778
33,F,Other,25 - 45,Low,Male,4,0.0,4,1,2.136909722222222
54,F,African-American,Greater than 45,High,Male,11,-1.0,9,0,129.88015046296297
23,F,African-American,Less than 25,High,Male,2,-1.0,9,0,71.85234953703704
41,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0.8661805555555555
52,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0.8997800925925926
43,F,Caucasian,25 - 45,Low,Male,13,0.0,4,1,51.32663194444444
52,F,African-American,Greater than 45,Low,Male,0,-1.0,4,0,13.93736111111111
28,F,Caucasian,25 - 45,Low,Male,1,-3.0,1,0,3.273252314814815
30,M,African-American,25 - 45,High,Male,11,-1.0,9,1,1.2227662037037037
28,F,Caucasian,25 - 45,Medium,Male,1,0.0,5,0,6.169641203703704
22,F,African-American,Less than 25,Low,Male,0,-1.0,4,0,0.923587962962963
30,F,African-American,25 - 45,Low,Male,4,0.0,2,0,-0.1272800925925926
25,F,Hispanic,25 - 45,Low,Male,4,0.0,4,0,1.216712962962963
31,F,Caucasian,25 - 45,High,Male,0,-1.0,8,1,30.9846875
37,F,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,35.00631944444444
32,F,African-American,25 - 45,High,Male,14,-1.0,9,0,1.154050925925926
53,M,Caucasian,Greater than 45,Low,Male,1,-1.0,1,0,1.0470949074074074
28,F,African-American,25 - 45,High,Male,25,29.0,8,1,25.96695601851852
44,M,Caucasian,25 - 45,Medium,Male,8,-1.0,5,1,4.985
25,F,African-American,25 - 45,Low,Male,0,0.0,3,0,0.34131944444444445
22,M,Caucasian,Less than 25,High,Male,1,0.0,8,1,5.944201388888889
37,M,Other,25 - 45,Low,Female,0,-1.0,1,0,1.0038310185185184
40,F,Other,25 - 45,Low,Female,3,-1.0,2,0,1.0015277777777778
31,M,Hispanic,25 - 45,Low,Female,0,-1.0,2,0,0.9157060185185185
23,F,Hispanic,Less than 25,Medium,Male,1,-1.0,6,1,1.2572800925925927
23,F,Caucasian,Less than 25,Medium,Female,5,-1.0,5,1,0.7559953703703703
24,M,Hispanic,Less than 25,High,Male,0,-3.0,8,0,0.660625
29,M,African-American,25 - 45,Low,Male,1,-1.0,3,0,0.9643171296296297
20,F,African-American,Less than 25,High,Male,1,-1.0,8,1,1.1250925925925925
30,F,African-American,25 - 45,Medium,Male,2,-1.0,6,1,1.7324421296296297
39,F,Other,25 - 45,Low,Male,0,-1.0,1,0,0.9042476851851852
27,F,African-American,25 - 45,Low,Male,4,-1.0,4,0,0.974212962962963
37,F,African-American,25 - 45,Low,Female,2,0.0,1,0,0.788425925925926
20,F,African-American,Less than 25,High,Male,0,-1.0,8,0,2.771122685185185
22,F,Hispanic,Less than 25,Medium,Male,0,0.0,7,0,2.0641435185185184
52,F,African-American,Greater than 45,Low,Female,0,-1.0,1,0,0.6647916666666667
23,F,African-American,Less than 25,Low,Female,0,-1.0,4,1,3.789201388888889
48,F,African-American,Greater than 45,Low,Female,0,-1.0,2,0,1.8496643518518519
25,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0.19116898148148148
27,F,Caucasian,25 - 45,Medium,Male,0,-1.0,6,1,1.7170486111111112
30,F,African-American,25 - 45,Medium,Male,11,0.0,7,1,1.0078935185185185
22,M,African-American,Less than 25,High,Male,3,-1.0,10,1,1.3466087962962963
22,F,Caucasian,Less than 25,Low,Female,1,-1.0,3,0,0.9595254629629629
41,M,African-American,25 - 45,Low,Female,2,-1.0,3,0,0.9509143518518518
25,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0.9127314814814815
52,F,African-American,Greater than 45,Medium,Male,3,0.0,6,1,24.923842592592592
43,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,41.00908564814815
37,F,Caucasian,25 - 45,Low,Male,3,-4.0,1,0,2.8909375
70,M,Caucasian,Greater than 45,Low,Male,1,-13.0,1,0,12.976851851851851
46,F,Caucasian,Greater than 45,Low,Male,3,-1.0,4,0,14.215011574074074
21,M,African-American,Less than 25,High,Male,0,-1.0,9,1,1.1212731481481482
26,M,African-American,25 - 45,High,Male,1,-1.0,8,1,1.8528935185185185
38,F,Hispanic,25 - 45,Low,Male,3,23.0,1,1,1.9303009259259258
34,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,0,1.1935763888888888
34,M,African-American,25 - 45,Low,Male,5,-1.0,4,0,0.9628703703703704
23,F,Caucasian,Less than 25,Medium,Male,0,0.0,5,1,0.6516666666666666
34,F,African-American,25 - 45,Low,Male,5,-1.0,4,1,2.8177083333333335
39,F,African-American,25 - 45,Low,Male,6,-1.0,3,1,2.861064814814815
24,F,Other,Less than 25,Low,Male,0,-1.0,3,0,1.0594212962962963
58,F,Caucasian,Greater than 45,Low,Male,2,-1.0,3,0,1.7777662037037036
21,M,African-American,Less than 25,Medium,Female,0,0.0,6,0,0.8731597222222223
23,M,African-American,Less than 25,High,Male,4,-11.0,8,1,11.16912037037037
62,F,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,1.9462037037037037
37,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,0,10.959722222222222
43,F,Other,25 - 45,Low,Male,2,-1.0,2,1,7.900717592592593
32,F,African-American,25 - 45,Low,Female,5,0.0,1,0,-0.09002314814814814
23,F,Hispanic,Less than 25,Low,Male,0,-1.0,3,0,45.92118055555556
27,M,African-American,25 - 45,Low,Male,0,0.0,1,0,0.8005208333333333
44,M,Caucasian,25 - 45,Low,Male,0,-1.0,1,1,1.2227546296296297
28,M,Caucasian,25 - 45,Low,Male,3,-1.0,3,1,0.9720949074074074
42,F,Caucasian,25 - 45,Low,Female,0,-3.0,2,0,1.1132407407407408
24,F,Other,Less than 25,High,Male,9,-1.0,10,1,4.621539351851852
27,F,African-American,25 - 45,Low,Male,0,0.0,2,0,17.226550925925928
20,F,African-American,Less than 25,High,Male,0,-1.0,10,1,0.8379629629629629
51,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,1.2764236111111111
56,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,1.2358796296296297
29,F,African-American,25 - 45,High,Male,7,-1.0,9,0,1.1756828703703703
20,F,African-American,Less than 25,High,Male,0,-1.0,9,1,209.90265046296295
27,F,Caucasian,25 - 45,Medium,Male,8,-1.0,5,0,68.1407175925926
24,F,African-American,Less than 25,High,Male,2,-1.0,9,1,19.121956018518517
53,F,Caucasian,Greater than 45,Medium,Male,36,-7.0,6,1,32.99427083333333
28,M,Caucasian,25 - 45,Low,Male,2,0.0,3,1,1.216550925925926
21,F,Hispanic,Less than 25,Medium,Male,3,-22.0,5,1,22.067256944444445
36,F,African-American,25 - 45,Medium,Female,0,-1.0,7,0,12.003263888888888
25,M,Caucasian,25 - 45,Low,Female,2,-2.0,4,1,1.0465625
23,M,Hispanic,Less than 25,Low,Female,1,0.0,3,1,0.42694444444444446
28,F,Caucasian,25 - 45,Medium,Male,1,-4.0,5,0,1.181863425925926
21,F,African-American,Less than 25,High,Female,0,-1.0,8,1,1.177488425925926
36,M,Caucasian,25 - 45,Low,Male,0,-1.0,3,0,0.6972916666666666
24,F,African-American,Less than 25,Low,Male,0,-1.0,3,0,0.7435532407407407
30,F,Other,25 - 45,Low,Male,1,-1.0,2,1,0.6160763888888889
29,F,African-American,25 - 45,Low,Male,0,-1.0,1,0,1.2474074074074073
30,M,Caucasian,25 - 45,Medium,Female,0,0.0,6,0,3.905451388888889
51,M,Hispanic,Greater than 45,Low,Male,1,-1.0,1,0,1.149212962962963
32,F,African-American,25 - 45,High,Male,12,-1.0,9,1,1.551238425925926
23,F,African-American,Less than 25,Medium,Male,1,0.0,6,0,1.091550925925926
47,F,African-American,Greater than 45,Low,Male,3,0.0,3,0,0.1867476851851852
37,F,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,19.02951388888889
19,F,African-American,Less than 25,High,Male,2,-1.0,10,1,1.1913078703703703
27,M,Hispanic,25 - 45,High,Male,0,-1.0,8,0,2.0906712962962963
39,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0.8337152777777778
21,F,Caucasian,Less than 25,Medium,Female,0,0.0,6,0,0.17121527777777779
69,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0.9471180555555555
21,F,Caucasian,Less than 25,Medium,Male,2,-1.0,6,0,2.0901388888888888
26,M,African-American,25 - 45,High,Male,6,0.0,10,1,3.7387615740740743
22,F,Caucasian,Less than 25,Low,Male,0,-2.0,4,0,0.05228009259259259
23,F,African-American,Less than 25,Medium,Female,0,-1.0,5,1,0.6804166666666667
49,F,African-American,Greater than 45,Medium,Male,3,0.0,5,0,3.734375
29,M,African-American,25 - 45,Low,Male,2,-1.0,4,1,50.797210648148145
60,M,Caucasian,Greater than 45,Low,Female,0,-1.0,1,0,0.8760648148148148
23,F,African-American,Less than 25,High,Male,3,0.0,10,1,0.2479398148148148
20,F,Other,Less than 25,Low,Female,1,-21.0,4,0,2.9536574074074076
36,F,Hispanic,25 - 45,Low,Male,1,0.0,3,0,95.10543981481482
30,F,Caucasian,25 - 45,Low,Male,0,0.0,4,0,1.8385416666666667
21,F,African-American,Less than 25,Low,Male,1,-1.0,3,1,-0.2326388888888889
22,M,Caucasian,Less than 25,Medium,Male,2,-1.0,6,1,0.8411574074074074
21,F,African-American,Less than 25,High,Male,4,-1.0,9,1,219.92160879629628
21,F,African-American,Less than 25,Medium,Male,0,-1.0,5,1,12.149930555555555
34,M,Caucasian,25 - 45,Low,Male,1,0.0,1,0,0.21048611111111112
50,M,Caucasian,Greater than 45,Low,Female,1,-1.0,1,1,0.9039467592592593
40,F,Caucasian,25 - 45,Medium,Male,0,-1.0,7,1,8.284872685185185
25,F,African-American,25 - 45,High,Male,7,-1.0,8,1,127.20806712962963
53,M,Caucasian,Greater than 45,Low,Female,1,-1.0,1,0,0.84375
24,F,African-American,Less than 25,Low,Female,0,-1.0,4,0,1.1713657407407407
42,F,African-American,25 - 45,Low,Male,1,-12.0,1,0,4.231446759259259
28,M,African-American,25 - 45,Low,Male,1,-1.0,3,0,1.8163888888888888
26,F,African-American,25 - 45,High,Male,6,-1.0,8,1,1.0140162037037037
22,F,African-American,Less than 25,High,Male,4,-1.0,9,1,260.1953472222222
21,M,Caucasian,Less than 25,Medium,Male,3,-8.0,7,0,5.9025
37,F,African-American,25 - 45,High,Male,23,-1.0,9,1,17.264652777777776
35,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,5.213414351851852
53,F,African-American,Greater than 45,Low,Male,2,-1.0,1,0,0.73
29,F,African-American,25 - 45,Low,Male,7,-1.0,4,1,1.2317476851851852
48,F,Caucasian,Greater than 45,High,Male,23,-1.0,8,1,360.9390393518519
52,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0.18145833333333333
27,F,African-American,25 - 45,High,Male,12,-1.0,8,1,31.945150462962964
28,F,African-American,25 - 45,High,Male,5,0.0,9,1,51.24881944444444
33,M,Caucasian,25 - 45,Low,Male,3,0.0,3,0,0.27337962962962964
28,F,Hispanic,25 - 45,Low,Female,0,-1.0,2,0,2.3810416666666665
36,F,African-American,25 - 45,Medium,Male,14,-1.0,7,1,0.9399884259259259
29,F,African-American,25 - 45,Medium,Male,2,-1.0,5,0,1.859537037037037
22,M,African-American,Less than 25,High,Male,0,0.0,9,1,21.31246527777778
25,F,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0.1985648148148148
56,F,African-American,Greater than 45,Low,Male,5,-1.0,3,0,12.07824074074074
27,F,African-American,25 - 45,High,Male,9,-1.0,8,1,52.11946759259259
52,F,Caucasian,Greater than 45,Low,Male,4,-1.0,1,1,7.031412037037037
32,F,African-American,25 - 45,Low,Male,3,0.0,2,0,1.136273148148148
60,F,Other,Greater than 45,Low,Male,4,-1.0,1,0,1.149224537037037
23,M,Hispanic,Less than 25,Low,Male,1,-5.0,3,0,5.183541666666667
39,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,0.9580787037037037
56,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0.9748842592592593
22,F,African-American,Less than 25,Medium,Female,0,0.0,7,0,0.25626157407407407
53,F,African-American,Greater than 45,Medium,Male,11,-1.0,6,0,110.01802083333334
25,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,0.2013888888888889
